ds,prediction,prediction_lower,prediction_upper,country
2019-03-19,0.27036219172561815,0.0,1894.4574815617368,Lithuania
2019-03-20,0.2760068145386979,0.0,1971.7133612044981,Lithuania
2019-03-21,0.27933985272447864,0.0,2016.2808307334838,Lithuania
2019-03-22,0.0,0.0,13736.096714903391,Lithuania
2019-03-23,0.27195628529733923,0.0,2022.5316169549462,Lithuania
2019-03-24,0.26123988878277865,0.0,1988.690292005926,Lithuania
2019-03-25,0.10023422765977355,0.0,767.4050244507893,Lithuania
2019-03-26,0.13432650497340531,0.0,1046.3112684749885,Lithuania
2019-03-27,0.15453050440946786,0.0,1202.8858161558667,Lithuania
2019-03-28,0.17593896978188717,0.0,1396.6121604606744,Lithuania
2019-03-29,0.0,0.0,16350.53781604037,Lithuania
2019-03-30,0.21238850618446695,0.0,1711.5171921548308,Lithuania
2019-03-31,0.2259694912936098,0.0,1819.901967622453,Lithuania
2019-04-01,0.08358575644544455,0.0,676.5416093022028,Lithuania
2019-04-02,0.1445650600621448,0.0,1186.8338689325685,Lithuania
2019-04-03,0.19015739450187907,0.0,1578.4653409964226,Lithuania
2019-04-04,0.23532507124907273,0.0,1969.774587516511,Lithuania
2019-04-05,0.0,0.0,17587.544703034477,Lithuania
2019-04-06,0.3111999004630787,0.0,2681.2386388430104,Lithuania
2019-04-07,0.3392080627970805,0.0,2999.1071232809163,Lithuania
2019-04-08,0.20086597118640484,0.0,1822.6659377770445,Lithuania
